Wall time,Step,Value
1666507145.3472233,267120,-12323.4462890625
1666507200.9514544,267840,-12568.2666015625
1666507257.5245826,268560,-14156.6416015625
1666507314.838817,269280,-13464.0234375
1666507370.0784369,270000,-11176.2861328125
1666507428.0166101,270720,-15475.552734375
1666507481.5375535,271440,-7302.6259765625
1666507538.0929215,272160,-12925.3828125
1666507594.1770253,272880,-12284.9345703125
1666507649.9443243,273600,-11859.265625
1666507705.2658052,274320,-10951.7236328125
1666507763.0262759,275040,-15488.66796875
1666507819.7965825,275760,-13489.6044921875
1666507876.1557848,276480,-13514.892578125
1666507933.4164875,277200,-14497.70703125
1666507989.4031909,277920,-13501.59375
1666508045.8763018,278640,-13902.1123046875
1666508105.228735,279360,-18866.7109375
1666508166.958734,280080,-22462.25390625
1666508223.1012805,280800,-12668.04296875
1666508279.9969635,281520,-13815.9462890625
1666508335.9513147,282240,-12322.1484375
1666508393.8477182,282960,-16085.1513671875
1666508452.271343,283680,-14814.2197265625
1666508509.7689934,284400,-13420.3193359375
1666508568.725163,285120,-16671.70703125
1666508627.191515,285840,-14893.1572265625
1666508685.0561566,286560,-16507.36328125
1666508743.8717444,287280,-17774.75
1666508799.980953,288000,-13594.416015625
1666508856.7537646,288720,-13545.630859375
1666508913.6697938,289440,-14339.8916015625
1666508970.6922195,290160,-13445.525390625
1666509027.1284375,290880,-11634.74609375
1666509082.1297522,291600,-10842.4716796875
1666509143.4045665,292320,-20057.810546875
1666509202.4000819,293040,-16751.57421875
1666509257.7787154,293760,-10561.6142578125
1666509315.128084,294480,-15424.765625
1666509372.7782702,295200,-14385.314453125
1666509430.4424553,295920,-14389.9921875
1666509488.800355,296640,-16973.8671875
1666509546.4401846,297360,-13802.5673828125
